year,exporter_code,importer_code,exporter_name,importer_name,hs_section,value,quantity
1995,124,410,Canada,Rep. of Korea,"XIII - Articles of stone, plaster, cement, glass",9772.215,15829.999
1995,124,410,Canada,Rep. of Korea,XIV - Natural or cultured pearls; precious stones,74072.12700000001,5.331
1995,124,410,Canada,Rep. of Korea,XV - Base metals and articles of base metal,250776.002,175746.65
1995,124,410,Canada,Rep. of Korea,XVI - Machinery and electrical equipment,427249.229,11778.963
1995,124,410,Canada,Rep. of Korea,"XVII - Vehicles, aircraft, vessels",38726.574,1930.475
1995,124,410,Canada,Rep. of Korea,"XVIII - Optical, medical, measuring instruments",38523.287,320.583
1995,124,410,Canada,Rep. of Korea,XX - Miscellaneous manufactured articles,5766.718,1142.431
1995,124,699,Canada,India,I - Live animals; animal products,101.962,73.92099999999999
1995,124,699,Canada,India,II - Vegetable products,21817.904,77425.383
1995,124,699,Canada,India,III - Animal or vegetable fats and oils,1629.5030000000002,2178.113
1995,124,699,Canada,India,IV - Prepared foodstuffs; beverages; tobacco,342.387,433.28
1995,124,699,Canada,India,IX - Wood and articles of wood,1752.4879999999998,3004.297
1995,124,699,Canada,India,V - Mineral products,49332.035,283318.01900000003
1995,124,699,Canada,India,VI - Products of the chemical or allied industries,29637.067,92974.22
1995,124,699,Canada,India,VII - Plastics and rubber,11943.593,10383.679
1995,124,699,Canada,India,VIII - Raw hides and skins; leather; travel goods,1373.495,179.419
1995,124,699,Canada,India,X - Pulp of wood; paper and paperboard,156630.061,175863.908
1995,124,699,Canada,India,XI - Textiles and textile articles,4503.146000000001,7187.789000000001
1995,124,699,Canada,India,XII - Footwear; headgear; umbrellas,61.593999999999994,3.445
1995,124,699,Canada,India,"XIII - Articles of stone, plaster, cement, glass",1278.401,424.226
1995,124,699,Canada,India,XIV - Natural or cultured pearls; precious stones,897.0809999999999,0.005
1995,124,699,Canada,India,XV - Base metals and articles of base metal,38443.45,108945.698
1995,124,699,Canada,India,XVI - Machinery and electrical equipment,52926.801,1367.6009999999999
1995,124,699,Canada,India,"XVII - Vehicles, aircraft, vessels",13607.789,237.905
1995,124,699,Canada,India,"XVIII - Optical, medical, measuring instruments",6743.054,30.025
1995,124,699,Canada,India,XX - Miscellaneous manufactured articles,1166.122,208.807
1995,124,826,Canada,United Kingdom,I - Live animals; animal products,55049.547,12983.864000000001
1995,124,826,Canada,United Kingdom,II - Vegetable products,181165.066,537164.498
1995,124,826,Canada,United Kingdom,III - Animal or vegetable fats and oils,272.684,136.55
1995,124,826,Canada,United Kingdom,IV - Prepared foodstuffs; beverages; tobacco,138537.283,67795.539
1995,124,826,Canada,United Kingdom,IX - Wood and articles of wood,233266.685,407601.46300000005
1995,124,826,Canada,United Kingdom,V - Mineral products,272554.874,5448757.683
1995,124,826,Canada,United Kingdom,VI - Products of the chemical or allied industries,136228.794,90801.12599999999
1995,124,826,Canada,United Kingdom,VII - Plastics and rubber,52872.907,25987.892
1995,124,826,Canada,United Kingdom,VIII - Raw hides and skins; leather; travel goods,9380.344000000001,496.11699999999996
1995,124,826,Canada,United Kingdom,X - Pulp of wood; paper and paperboard,493380.612,764662.2370000001
1995,124,826,Canada,United Kingdom,XI - Textiles and textile articles,55447.502,7207.344
1995,124,826,Canada,United Kingdom,XII - Footwear; headgear; umbrellas,2958.304,169.468
1995,124,826,Canada,United Kingdom,"XIII - Articles of stone, plaster, cement, glass",25862.716,23548.532
1995,124,826,Canada,United Kingdom,XIV - Natural or cultured pearls; precious stones,54627.07,41.042
1995,124,826,Canada,United Kingdom,XIX - Arms and ammunition,4139.011,212.394
1995,124,826,Canada,United Kingdom,XV - Base metals and articles of base metal,571015.411,192248.341
1995,124,826,Canada,United Kingdom,XVI - Machinery and electrical equipment,924118.4010000001,21611.28
1995,124,826,Canada,United Kingdom,"XVII - Vehicles, aircraft, vessels",117975.522,6109.774
1995,124,826,Canada,United Kingdom,"XVIII - Optical, medical, measuring instruments",75792.434,890.772
1995,124,826,Canada,United Kingdom,XX - Miscellaneous manufactured articles,63076.994,18175.333
